Designator,Footprint,Quantity,Value,LCSC Part #
"C101, C102",0603,2,10n,
C103,0603,1,100n,
"D101, D102",D_SOD-123,2,1N4148W,
D103,Nexperia_CFP3_SOD-123W,1,PMEG3010ER,
"IC101, IC102, IC103, IC104, IC105, IC106, IC107, IC108, IC109, IC110, IC111, IC112, IC113, IC114, IC115, IC116, IC117, IC118, IC119, IC120, IC121, IC122, IC123, IC124, IC125, IC126, IC127, IC128, IC129, IC130",AP2301SN7,30,BCR420UFD-7,
IC131,SOIC127P600X175-8N,1,LMC555CMX,
"LED101, LED102, LED103, LED104, LED105, LED106, LED107, LED108, LED109, LED110, LED111, LED112, LED113, LED114, LED115, LED116, LED117, LED118, LED119, LED120, LED121, LED122, LED123, LED124, LED125, LED126, LED127, LED128, LED129, LED130, LED131, LED132, LED133, LED134, LED135, LED136, LED137, LED138, LED139, LED140, LED141, LED142, LED143, LED144, LED145, LED146, LED147, LED148, LED149, LED150, LED151, LED152, LED153, LED154, LED155, LED156, LED157, LED158, LED159, LED160, LED161, LED162, LED163, LED164, LED165, LED166, LED167, LED168, LED169, LED170, LED171, LED172, LED177, LED178, LED179, LED180, LED181, LED182, LED183, LED184, LED185, LED186, LED187, LED188, LED189, LED190, LED191, LED192, LED193, LED194, LED195, LED196, LED197, LED198, LED199, LED200, LED201, LED202, LED203, LED204, LED205, LED206, LED207, LED208, LED209, LED210, LED211, LED212, LED213, LED214, LED215, LED216, LED217, LED218, LED219, LED220",LED_KW DELPS2.RA_OSR,116,KW DELPS2.RA-TIVH-FK0PM0-Z555,
"LED173, LED174, LED175, LED176",LED_KW DELPS2.RA_OSR,4,~,
R101,0603,1,10k,
R102,0603,1,1k,
